;;;Space;Nodes
Attributes;Utility;Privacy;Value;Value
3;Loss;k-anonymity;2801552.0;96.0
4;Loss;k-anonymity;3230832.0;480.0
5;Loss;k-anonymity;4360336.0;1440.0
6;Loss;k-anonymity;4690040.0;4320.0
7;Loss;k-anonymity;7160152.0;12960.0
8;Loss;k-anonymity;1.2567816E7;38880.0
9;Loss;k-anonymity;3.0871576E7;116640.0
10;Loss;k-anonymity;1.10373696E8;466560.0
11;Loss;k-anonymity;3.35537024E8;1399680.0
12;Loss;k-anonymity;1.011256552E9;4199040.0
