;;Time;Quality;Transformation;Checks
Attributes;Dataset;Value;Value;Value;Value
7;Fars;1099.0;0.8985293682610245;[3, 0, 0, 1, 0, 0, 0];509.0
8;Fars;264.0;0.8441566465574333;[4, 0, 1, 1, 0, 0, 1, 0];50.0
8;Fars;269.0;0.8460101233152582;[3, 0, 1, 1, 0, 0, 2, 0];56.0
8;Fars;14925.0;0.8460101233152582;[3, 0, 1, 1, 0, 0, 2, 0];3769.0
1;Atus;8.0;1.0;[0];1.0
1;Atus;8.0;1.0;[0];1.0
2;Atus;18.0;0.9858248354999999;[0, 0];1.0
2;Atus;18.0;0.9863666893602603;[1, 0];2.0
2;Atus;19.0;0.9863666893602603;[1, 0];5.0
3;Atus;19.0;0.9774447245;[0, 0, 0];1.0
3;Atus;21.0;0.9852153485954136;[1, 0, 0];2.0
3;Atus;23.0;0.9852153485954136;[1, 0, 0];7.0
4;Atus;21.0;0.9675198839999999;[0, 0, 0, 0];1.0
4;Atus;23.0;0.9792261067076298;[1, 0, 0, 0];2.0
4;Atus;39.0;0.9792261067076298;[1, 0, 0, 0];20.0
5;Atus;25.0;0.9561708512000002;[0, 0, 0, 0, 0];1.0
5;Atus;28.0;0.969415542270611;[1, 0, 0, 0, 0];2.0
5;Atus;43.0;0.9699303425529728;[2, 0, 0, 0, 0];7.0
5;Atus;48.0;0.9736951091573833;[1, 0, 0, 1, 0];10.0
5;Atus;99.0;0.9736951091573833;[1, 0, 0, 1, 0];50.0
6;Atus;31.0;0.9603165186534757;[1, 0, 0, 0, 0, 0];2.0
6;Atus;59.0;0.9625905492226583;[2, 0, 0, 0, 0, 0];8.0
6;Atus;71.0;0.968561586417271;[1, 0, 0, 0, 1, 0];12.0
6;Atus;76.0;0.9686106880113161;[2, 0, 0, 0, 1, 0];14.0
6;Atus;264.0;0.9686106880113161;[2, 0, 0, 0, 1, 0];103.0
7;Atus;105.0;0.9096564887179031;[1, 1, 0, 0, 0, 0, 0];9.0
7;Atus;110.0;0.9441712596221647;[0, 2, 0, 0, 0, 0, 0];10.0
7;Atus;133.0;0.9549033249256862;[0, 1, 0, 0, 0, 1, 0];14.0
7;Atus;145.0;0.9592875300446999;[0, 2, 0, 0, 0, 1, 0];17.0
7;Atus;806.0;0.9592875300446999;[0, 2, 0, 0, 0, 1, 0];191.0
8;Atus;166.0;0.9446241213282973;[0, 1, 0, 0, 0, 0, 1, 0];16.0
8;Atus;181.0;0.9526361641572931;[0, 2, 0, 0, 0, 0, 1, 0];19.0
8;Atus;213.0;0.9544013574846408;[0, 3, 0, 0, 0, 0, 1, 0];27.0
8;Atus;1431.0;0.9544013574846408;[0, 3, 0, 0, 0, 0, 1, 0];277.0
9;Atus;551.0;0.8889779049404947;[1, 2, 0, 0, 0, 0, 1, 1, 0];38.0
9;Atus;557.0;0.9130585613950422;[0, 3, 0, 0, 0, 0, 1, 1, 0];39.0
9;Atus;20155.0;0.9130585613950422;[0, 3, 0, 0, 0, 0, 1, 1, 0];1850.0
1;Ihis;19.0;1.0;[0];1.0
1;Ihis;19.0;1.0;[0];1.0
2;Ihis;23.0;0.9999849184000003;[0, 0];1.0
2;Ihis;24.0;0.9999849184000003;[0, 0];3.0
3;Ihis;45.0;0.9973364144999997;[0, 0, 0];1.0
3;Ihis;47.0;0.9973364144999997;[0, 0, 0];4.0
4;Ihis;54.0;0.9902924498000001;[0, 0, 0, 0];1.0
4;Ihis;61.0;0.9902924498000001;[0, 0, 0, 0];5.0
5;Ihis;76.0;0.9568991808999998;[0, 0, 0, 0, 0];1.0
5;Ihis;93.0;0.9640314520885855;[0, 1, 0, 0, 0];3.0
5;Ihis;100.0;0.9771229414690608;[0, 0, 1, 0, 0];4.0
5;Ihis;159.0;0.9771229414690608;[0, 0, 1, 0, 0];24.0
6;Ihis;176.0;0.9575105525206209;[0, 0, 0, 1, 0, 0];5.0
6;Ihis;238.0;0.9638604910730058;[0, 0, 1, 1, 0, 0];10.0
6;Ihis;281.0;0.9640666825777693;[0, 0, 1, 2, 0, 0];17.0
6;Ihis;472.0;0.9640666825777693;[0, 0, 1, 2, 0, 0];56.0
