;;;Space;Nodes
Attributes;Utility;Privacy;Value;Value
3;Loss;k-anonymity;2760792.0;96.0
4;Loss;k-anonymity;3053968.0;480.0
5;Loss;k-anonymity;3943408.0;1440.0
6;Loss;k-anonymity;3879624.0;4320.0
7;Loss;k-anonymity;4744816.0;12960.0
8;Loss;k-anonymity;5349784.0;38880.0
9;Loss;k-anonymity;8360848.0;116640.0
10;Loss;k-anonymity;1.7511912E7;466560.0
11;Loss;k-anonymity;3.5138904E7;1399680.0
12;Loss;k-anonymity;8.3118608E7;4199040.0
